tc_id,technique,bva_role,product_id,quantity_raw,input_mode,click_count,expected_outcome,expected_cart_qty,field_value_rule,description,spec_basis
EX1,EP,n/a,1,5,fill,1,accept,5,verbatim,"Một lần bấm duy nhất phải thêm được sản phẩm và hiện phản hồi trực quan","Đặc tả nói nút sau khi bấm phải hiển thị phản hồi trực quan; không có điều khoản nào cho phép bỏ qua lần bấm đầu tiên"
DT1,EP,n/a,1,5,fill,2,accept,5,verbatim,"Giá trị đại diện nằm giữa miền hợp lệ","Số nguyên >= 1 nên phải vào giỏ và có phản hồi trực quan"
DT2,EP,n/a,1,0,fill,2,reject,0,verbatim,"Lớp tương đương không hợp lệ: bằng 0","Đặc tả yêu cầu tối thiểu là 1 nên 0 nằm ngoài miền"
DT3,EP,n/a,1,-1,fill,2,reject,0,verbatim,"Lớp tương đương không hợp lệ: số âm","Miền hợp lệ là số nguyên dương nên số âm bị loại"
DT4,EP,n/a,1,1.5,fill,2,reject,0,verbatim,"Lớp tương đương không hợp lệ: số thập phân trong miền giá trị","Đặc tả chỉ nhận số nguyên nên 1.5 bị loại dù lớn hơn 1"
DT5,EP,n/a,1,<EMPTY>,clear,2,reject,0,empty,"Ô số lượng bị bỏ trống trước khi bấm nút","Chuỗi rỗng không phải số nguyên >= 1 nên không được thêm"
DT6,EP,n/a,1,abc,type,2,reject,0,no_letters,"Nhập ký tự phi số bằng cách gõ từng phím vì fill bị framework từ chối","Trình duyệt chặn ký tự phi số nhưng đồng thời xoá rỗng ô, nên giá trị đi vào nút là chuỗi rỗng; chuỗi rỗng không phải số nguyên >= 1 nên không được thêm"
DT7,EP,n/a,1,9999999999,fill,2,accept,9999999999,verbatim,"Số nguyên rất lớn nhưng vẫn nằm trong miền hợp lệ","Đặc tả không định nghĩa cận trên và không có khái niệm tồn kho"
DT8,EP,n/a,1,5,fill,3,accept,<UNSPEC>,verbatim,"Bấm nút nhiều lần liên tiếp với cùng một số lượng","Đặc tả không định nghĩa hành vi cộng dồn nên chỉ ghi nhận số lượng thực tế"
BT1,BVA,LB-1,1,0,fill,2,reject,0,verbatim,"Biên dưới trừ một của miền hợp lệ","Cận dưới là 1 nên 0 phải bị từ chối"
BT2,BVA,LB,1,1,fill,2,accept,1,verbatim,"Đúng biên dưới của miền hợp lệ","Đặc tả nói tối thiểu là 1 nên 1 phải được chấp nhận"
BT3,BVA,LB+1,1,2,fill,2,accept,2,verbatim,"Biên dưới cộng một của miền hợp lệ","Số nguyên lớn hơn 1 nằm trọn trong miền hợp lệ"
BT4,BVA,UI,1,9999999999,fill,2,accept,9999999999,verbatim,"Giá trị lớn dùng để soi việc tính và hiển thị thành tiền","Không có cận trên nên phải chấp nhận và hiển thị đúng theo vi-VN"
BT5,BVA,UI,1,9007199254740992,fill,2,accept,9007199254740992,verbatim,"Giá trị vượt MAX_SAFE_INTEGER của JavaScript","Vẫn là số nguyên >= 1 nên đặc tả buộc phải chấp nhận"
BT6,BVA,adv,1,+5,fill,2,accept,5,numeric,"Dấu cộng đứng trước số hợp lệ có thể bị trình duyệt tự chuẩn hoá","Giá trị số là 5 tức số nguyên >= 1 nên phải được chấp nhận"
